u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allreduce,696.8940000007251,48.148544828862185,1118.344999994747,30.0036500365787
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allreduce,708.9380000024903,47.330559230683264,1053.1789999959074,31.860141533519368
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allreduce,567.6249999879701,59.11373177839442,1087.1700000052442,30.864015747158348
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allreduce,700.317999999811,47.913136603670125,1149.6080000057418,29.187716160493324
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allreduce,769.3010000053846,43.616779387736585,1099.494000001755,30.518067401865256
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allreduce,721.0870000022851,46.53312568371593,1043.6679999941134,32.1504846370582
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Allreduce,612.4629999959552,109.57211129561,1151.9849999928056,58.25498075098123
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Allreduce,637.1059999992212,105.33390675975745,1077.9119999995146,62.258202895997286
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Allreduce,633.6820000001353,105.90306178806668,1065.742999998065,62.969087294143
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Allreduce,649.9200000007477,103.25711472169314,1042.006000005813,64.40352934592087
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Allreduce,686.2250000096992,97.79425698430029,1048.7990000029868,63.986392053967336
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Allreduce,706.6860000009001,94.96277554658579,947.9510000005575,70.79360009110232
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Allreduce,692.2120000041332,96.94842620410985,1182.5670000007449,56.748466683035915
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Allreduce,709.489000001895,94.58760319021262,1038.6530000090488,64.61143808318596
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Allreduce,624.203000000989,107.51128078508701,967.6139999896805,69.35499486439397
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Allreduce,647.8439999995089,103.58799958022435,1217.401000005225,55.124699256622904
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Allreduce,639.016999997466,210.03780494185952,1122.1390000031306,119.60882564426113
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Allreduce,751.2090000005855,178.66895630895712,988.0920000000515,135.83525420709105
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Allreduce,705.5860000093617,190.22164271714462,932.3379999983672,143.95822974096848
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Allreduce,699.4499999990467,191.8903824436099,1138.721000003784,117.86708772346694
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Allreduce,580.1949999977296,231.33210041542102,1114.9940000052538,120.37529170503838
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Allreduce,631.4299999985451,212.56153176173015,1148.6510000082717,116.84813576885709
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Allreduce,609.0389999968693,220.37624520053714,1050.2890000054776,127.79123460238088
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Allreduce,589.2259999882299,227.78649958196186,1088.8659999892525,123.26376983148043
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Allreduce,597.622000000797,224.58632379634787,896.4849999983926,149.71553121384147
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Allreduce,706.4069999955791,190.00056341576453,1102.7620000021443,121.71051233152666
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,8,1024,Allreduce,669.338000008679,401.0461919038204,1074.9320000087437,249.72319737231425
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,8,1024,Allreduce,585.6220000026724,458.3766593447224,1046.6190000073539,256.47867657487
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,8,1024,Allreduce,693.1369999989556,387.2761892676404,1042.1679999979006,257.5740725109011
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,8,1024,Allreduce,602.7790000047162,445.3298074383808,1052.6870000120425,255.00025743352884
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,8,1024,Allreduce,665.6839999976683,403.2475709209479,1016.5620000037734,264.0620601586559
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,8,1024,Allreduce,693.8889999901221,386.85647993241184,1104.0389999976696,243.13946880551015
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,8,1024,Allreduce,676.5330000035874,396.78102324436,1119.2820000047732,239.8282613307953
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,8,1024,Allreduce,640.1660000108222,419.32163844293825,1035.3689999931248,259.2654947190639
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,8,1024,Allreduce,621.9090000030292,431.63140587882236,992.8660000042555,270.36423444739717
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,8,1024,Allreduce,704.7450000072786,380.89728341063454,1031.4049999919916,260.26193008768064
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,16,1024,Allreduce,599.4750000013482,895.5684757476001,1092.9689999983339,491.2041530920076
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,16,1024,Allreduce,675.7410000091113,794.4921382493604,1136.1070000077689,472.5531239542832
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,16,1024,Allreduce,690.8960000089337,777.0647275321581,1068.826999997441,502.29916721909666
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,16,1024,Allreduce,656.2630000104264,818.0728031162361,1054.9590000010767,508.9021582824092
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,16,1024,Allreduce,696.1720000049354,771.1756749714064,1113.2180000004155,482.2693416741372
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,16,1024,Allreduce,682.3469999943654,786.8004285274696,1142.0390000012048,470.09857982033327
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,16,1024,Allreduce,619.7659999997995,866.2477644791319,1084.595999998328,494.99621241533964
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,16,1024,Allreduce,709.4390000048634,756.7541564480098,1105.2109999951654,485.7632723546441
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,16,1024,Allreduce,589.082000004737,911.3687262480994,995.0129999936053,539.5617062324314
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,16,1024,Allreduce,689.785000005827,778.3163043491303,1307.8339999879063,410.5038651732288
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,32,1024,Allreduce,775.5029999998442,1384.5746876546134,1120.959000004973,957.8778742088127
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,32,1024,Allreduce,661.4720000044372,1623.2611871595432,1099.9819999994997,976.1449041897853
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,32,1024,Allreduce,721.6580000033446,1487.8818276732518,1166.8830000104435,920.1795072774134
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,32,1024,Allreduce,716.6399999931627,1498.30015629918,1133.5030000054758,947.2774434605052
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,32,1024,Allreduce,710.7540000106383,1510.708098700716,1185.86299998924,905.4518304473137
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,32,1024,Allreduce,627.9750000004469,1709.8480417201893,1094.657000010102,980.8933976488445
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,32,1024,Allreduce,667.763999999238,1607.9660239264551,1168.8069999991058,918.6647787024048
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,32,1024,Allreduce,720.6840000009151,1489.892690830706,1059.9649999960548,1012.9974329378769
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,32,1024,Allreduce,664.1859999945154,1616.6282095811512,1117.5579999900265,960.7929288766959
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,32,1024,Allreduce,651.3290000071947,1648.5398684660736,1002.5600000034274,1071.000063832917
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,64,1024,Allreduce,682.9900000013822,3144.2387853345645,1082.4019999944312,1983.998226177565
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,64,1024,Allreduce,695.5110000035347,3087.634340778343,1166.161000000443,1841.4984277464125
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,64,1024,Allreduce,761.2099999931843,2821.14481945748,1089.5559999966054,1970.9713387900124
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,64,1024,Allreduce,693.8149999911047,3095.1819260574252,1005.4449999898907,2135.853923408632
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,64,1024,Allreduce,626.2130000038724,3429.318215985169,1204.3800000043348,1783.0615320681768
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,64,1024,Allreduce,670.0380000097539,3205.0176974570677,1166.7630000005147,1840.548293011565
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,64,1024,Allreduce,656.8749999900092,3269.242470839448,1100.3660000028503,1951.6085084366814
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,64,1024,Allreduce,646.4810000039733,3321.8047367003846,1032.7980000113257,2079.287186823029
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,64,1024,Allreduce,563.6669999944388,3809.844550099948,1099.165999988827,1953.7391513400426
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,64,1024,Allreduce,668.848999993088,3210.7151958397076,1012.4580000052674,2121.0594888764053
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,128,1024,Allreduce,697.0740000014075,6161.422310961717,998.7239999986741,4300.454676172498
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,128,1024,Allreduce,734.9739999966687,5843.6996356598565,1265.5469999884872,3393.7635631383678
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,128,1024,Allreduce,713.4399999983998,6020.081991491413,1542.279999995344,2784.8168270437054
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,128,1024,Allreduce,810.4320000086318,5299.6023058742185,1185.8250000074122,3621.9233832759082
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,128,1024,Allreduce,729.2559999996229,5889.519312836948,1087.9379999977346,3947.805202142901
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,128,1024,Allreduce,862.6569999989897,4978.7659475377,1196.1740000003829,3590.587402834893
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,128,1024,Allreduce,797.2770000037599,5387.045275330588,1145.851999993397,3748.2740319210075
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,128,1024,Allreduce,685.0200000059203,6269.842188495052,1338.3210000057488,3209.2205801011496
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,128,1024,Allreduce,714.9540000028765,6007.333752916579,1060.6900000027508,4049.220126510914
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,128,1024,Allreduce,885.1660000033235,4852.160268225253,1281.9880000023431,3350.239858713303
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allreduce,671.7340000008676,49.95196312819757,1355.61700000153,24.752147546071
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allreduce,590.7509999971694,56.79961946769583,1029.0279999978225,32.6078901643794
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allreduce,622.1510000017361,53.932939109486874,1078.9090000002943,31.100335616804426
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allreduce,623.3439999974166,53.82971842215384,1080.5509999940455,31.053075699513407
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allreduce,675.5960000006667,49.66641602372851,1061.527000004503,31.609588828035147
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allreduce,615.5089999992924,54.51493316919586,1022.4819999962165,32.8166481171543
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allreduce,659.4120000045223,50.88538273457244,1112.528000000168,30.16052809456924
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allreduce,685.4690000039909,48.95105686734869,923.2029999992619,36.345670453872906
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allreduce,697.7509999970266,48.08940725293549,963.6460000024272,34.82028877815659
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allreduce,654.9189999986993,51.23447632465487,1124.1159999997308,29.849616943454265
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Allreduce,655.1409999957514,102.43423018928017,904.1060000001266,74.22676544563424
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Allreduce,689.3669999996632,97.34852988325926,1089.5770000018956,61.59166722488015
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Allreduce,667.7659999994034,100.49757549809357,1002.7560000054336,66.924420297297
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Allreduce,584.244999998873,114.86425044310084,953.9680000045792,70.34708082417636
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Allreduce,658.2739999956289,101.9467030453058,1069.9800000040227,62.719736817274814
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Allreduce,582.4380000021279,115.220614039185,962.7799999947229,69.7032177656036
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Allreduce,700.4159999937087,95.81286549793664,1023.3250000055705,65.57922849498907
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Allreduce,701.3540000002649,95.68472411931015,932.2699999998463,71.98436504447324
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Allreduce,718.8009999978817,93.36222960207034,1025.4140000043321,65.44562878965615
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Allreduce,578.8590000008753,115.93300613776157,991.6779999983305,67.6720306390915
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Allreduce,643.1520000020896,208.68741448298988,1018.200000004299,131.81862895249785
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Allreduce,679.658999999333,197.4780411943809,1115.9880000022326,120.26807456686943
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Allreduce,659.8000000010984,203.42183691994023,1020.1500000022179,131.56665980464462
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Allreduce,683.4870000034243,196.37202755769687,1024.3210000027148,131.03092487574136
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Allreduce,675.6080000016595,198.66213543899764,1103.5559999967859,121.6229425605868
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Allreduce,592.9220000027158,226.36658447381822,1027.989000000673,130.5633892968817
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Allreduce,570.2149999962103,235.38091421813178,989.232999998535,135.67857926312482
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Allreduce,608.7489999941909,220.48122954005805,970.7529999900544,138.2614609497731
u280_dual_path_allreduce,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Allreduce,605.9179999908793,221.51137282936034,1013.7099999951715,132.40248986459568
